Log - Oct-29-2020 | 18:30:48:BCCRP Bot just loaded messageUpdate.ts
Log - Oct-29-2020 | 18:30:48:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:31:59:Express server started on 5000
Log - Oct-29-2020 | 18:31:59:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:32:0:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:32:1:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:32:1:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:32:1:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:32:1:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:32:1:BCCRP Bot just loaded messageUpdate.ts
Log - Oct-29-2020 | 18:32:1:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:33:13:Express server started on 5000
Log - Oct-29-2020 | 18:33:13:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:33:14:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:33:14:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:33:14:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:33:14:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:33:14:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:33:14:BCCRP Bot just loaded messageUpdate.ts
Log - Oct-29-2020 | 18:33:14:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:33:41:Express server started on 5000
Log - Oct-29-2020 | 18:33:41:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:33:42:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:33:42:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:33:42:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:33:42:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:33:42:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:33:42:BCCRP Bot just loaded messageUpdate.ts
Log - Oct-29-2020 | 18:33:42:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:34:2:Express server started on 5000
