Log - Oct-28-2020 | 20:43:32:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:43:32:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:44:15:BCCRP Bot is ready to serve 2127 users in 3 guilds!
Log - Oct-28-2020 | 20:44:15:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:44:15:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:44:15:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:44:15:ked#0001 (756958129983324322) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:46:4:Connected to MongoDB database!
Log - Oct-28-2020 | 20:46:6:BCCRP Bot is ready to serve 2126 users in 3 guilds!
Log - Oct-28-2020 | 20:46:6:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:46:6:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:46:6:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:46:31:Connected to MongoDB database!
Log - Oct-28-2020 | 20:46:33:BCCRP Bot is ready to serve 2126 users in 3 guilds!
Log - Oct-28-2020 | 20:46:33:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:46:33:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:46:33:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:46:42:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:46:43:BCCRP Bot is ready to serve 2127 users in 3 guilds!
Log - Oct-28-2020 | 20:46:43:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:46:43:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:46:43:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:46:52:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:46:54:BCCRP Bot is ready to serve 2127 users in 3 guilds!
Log - Oct-28-2020 | 20:46:54:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:46:54:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:46:54:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:49:36:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:49:38:BCCRP Bot is ready to serve 2122 users in 3 guilds!
Log - Oct-28-2020 | 20:49:38:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:49:41:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:49:45:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:49:49:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:49:57:BCCRP Bot is ready to serve 2123 users in 3 guilds!
Log - Oct-28-2020 | 20:49:57:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:49:57:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:49:57:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:50:6:Express server started on 5000
Log - Oct-28-2020 | 20:50:6:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:50:7:BCCRP Bot is ready to serve 2123 users in 3 guilds!
Log - Oct-28-2020 | 20:50:7:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:50:7:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:50:7:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:50:21:Express server started on 5000
Log - Oct-28-2020 | 20:50:21:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:50:22:BCCRP Bot is ready to serve 2123 users in 3 guilds!
Log - Oct-28-2020 | 20:50:22:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:50:23:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:50:23:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:50:32:Express server started on 5000
Log - Oct-28-2020 | 20:50:32:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:50:34:BCCRP Bot is ready to serve 2123 users in 3 guilds!
Log - Oct-28-2020 | 20:50:34:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:50:34:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:50:34:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:50:51:Express server started on 5000
Log - Oct-28-2020 | 20:50:51:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:50:53:BCCRP Bot is ready to serve 2122 users in 3 guilds!
Log - Oct-28-2020 | 20:50:53:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:50:53:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:50:53:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:51:19:Express server started on 5000
Log - Oct-28-2020 | 20:51:19:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:51:21:BCCRP Bot is ready to serve 2122 users in 3 guilds!
Log - Oct-28-2020 | 20:51:21:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:51:21:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:51:21:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:51:30:Express server started on 5000
Log - Oct-28-2020 | 20:51:30:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:51:31:BCCRP Bot is ready to serve 2122 users in 3 guilds!
Log - Oct-28-2020 | 20:51:31:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:51:32:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:51:32:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:52:8:Express server started on 5000
Log - Oct-28-2020 | 20:52:8:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:52:9:BCCRP Bot is ready to serve 2122 users in 3 guilds!
Log - Oct-28-2020 | 20:52:9:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:52:9:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:52:10:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:53:40:Express server started on 5000
Log - Oct-28-2020 | 20:53:40:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:53:42:BCCRP Bot is ready to serve 2121 users in 3 guilds!
Log - Oct-28-2020 | 20:53:42:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:53:42:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:53:42:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:54:31:Express server started on 5000
Log - Oct-28-2020 | 20:54:31:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:54:32:BCCRP Bot is ready to serve 2121 users in 3 guilds!
Log - Oct-28-2020 | 20:54:32:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:54:33:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:54:33:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:54:41:Express server started on 5000
Log - Oct-28-2020 | 20:54:41:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:54:42:BCCRP Bot is ready to serve 2121 users in 3 guilds!
Log - Oct-28-2020 | 20:54:43:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:54:43:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:54:43:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:54:58:Express server started on 5000
Log - Oct-28-2020 | 20:54:58:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:54:59:BCCRP Bot is ready to serve 2120 users in 3 guilds!
Log - Oct-28-2020 | 20:54:59:BCCRP Bot just loaded help.ts
